index,0,laplace_method,cluster_method,n_components
normalized/Lsym_kmeans_4,0.12986579533231815,normalized/Lsym,kmeans,4
normalized/Lsym_kmeans_52,0.12913170271225125,normalized/Lsym,kmeans,52
normalized/Lsym_kmeans_56,0.12646966079630215,normalized/Lsym,kmeans,56
normalized/Lsym_kmeans_48,0.12541760572382732,normalized/Lsym,kmeans,48
normalized/Lsym_kmeans_78,0.11895770260513032,normalized/Lsym,kmeans,78
normalized/Lrw_kmeans_64,0.1122530253838057,normalized/Lrw,kmeans,64
normalized/Lsym_kmeans_72,0.11085156491339149,normalized/Lsym,kmeans,72
normalized/Lrw_discretize_6,0.10873844542924818,normalized/Lrw,discretize,6
normalized/Lsym_kmeans_60,0.10591919871730275,normalized/Lsym,kmeans,60
normalized/Lsym_kmeans_54,0.10513834845756466,normalized/Lsym,kmeans,54
normalized/Lsym_kmeans_76,0.1004877181237743,normalized/Lsym,kmeans,76
normalized/Lrw_kmeans_78,0.09756423127011872,normalized/Lrw,kmeans,78
normalized/Lsym_kmeans_64,0.09632568454205906,normalized/Lsym,kmeans,64
normalized/Lsym_kmeans_58,0.093421846296865,normalized/Lsym,kmeans,58
normalized/Lsym_kmeans_62,0.0893111841669803,normalized/Lsym,kmeans,62
unnormalized_kmeans_4,0.08891527848210759,unnormalized,kmeans,4
normalized/Lsym_discretize_4,0.08723849382889624,normalized/Lsym,discretize,4
normalized/Lrw_kmeans_74,0.08395749818282111,normalized/Lrw,kmeans,74
normalized/Lsym_kmeans_74,0.0822363316789943,normalized/Lsym,kmeans,74
normalized/Lsym_kmeans_70,0.0770455177569806,normalized/Lsym,kmeans,70
normalized/Lsym_kmeans_66,0.07644821245442576,normalized/Lsym,kmeans,66
unnormalized_kmeans_2,0.06650319560512168,unnormalized,kmeans,2
unnormalized_kmeans_6,0.05531972622988309,unnormalized,kmeans,6
normalized/Lrw_kmeans_2,0.05377685926935585,normalized/Lrw,kmeans,2
unnormalized_kmeans_8,0.04769431173053878,unnormalized,kmeans,8
normalized/Lsym_kmeans_2,0.04627146187680061,normalized/Lsym,kmeans,2
normalized/Lrw_discretize_4,0.030518403069178534,normalized/Lrw,discretize,4
normalized/Lsym_discretize_2,0.01723143770522583,normalized/Lsym,discretize,2
normalized/Lrw_discretize_2,0.017174941011129076,normalized/Lrw,discretize,2
unnormalized_kmeans_10,0.004671949717829612,unnormalized,kmeans,10
unnormalized_kmeans_12,0.002544096036448125,unnormalized,kmeans,12
unnormalized_kmeans_14,0.0023267991331128086,unnormalized,kmeans,14
unnormalized_discretize_60,0.002208181158179491,unnormalized,discretize,60
unnormalized_discretize_40,0.0021780112941399607,unnormalized,discretize,40
unnormalized_discretize_12,0.002160305698412177,unnormalized,discretize,12
